ISetReg 3 : 5000, 5000Start drive: Tsting chart for 4 => 2 in 0	 L: 1	 5000	 42	 4	 0	 ;Tsting chart for 4 => 2 in 0	 R: 1	 5000	 42	 4	 0	 ;

0	200	 L: 0	, 0	 R: 0	, 0	 STA: 1	 0
1	200	 L: 0	, 0	, 4	, 4	, 4	, 0	 > 55	 R: 0	, 0	, 4	, 4	, 4	, 0	 > 55	 STA: 1	 0
2	200	 L: 1250	, 1	, 3	, -1	, 7	, 0	 > 54	 R: 1250	, 1	, 3	, -1	, 7	, 0	 > 54	 STA: 1	 0
3	200	 L: 3750	, 3	, 1	, -2	, 8	, 0	 > 50	 R: 3750	, 3	, 1	, -2	, 8	, 0	 > 50	 STA: 1	 0
4	200	 L: 3750	, 3	, 1	, 0	, 9	, 0	 > 50	 R: 5000	, 4	, 0	, -1	, 8	, 0	 > 48	 STA: 1	 0
5	200	 L: 3750	, 3	, 1	, 0	, 10	, 0	 > 50	 R: 5000	, 4	, 0	, 0	, 8	, 0	 > 48	 STA: 1	 0
6	200	 L: 3750	, 3	, 1	, 0	, 11	, 0	 > 50	 R: 5000	, 4	, 0	, 0	, 8	, 0	 > 48	 STA: 1	 0
7	200	 L: 3750	, 3	, 1	, 0	, 12	, 0	 > 50	 R: 3750	, 3	, 1	, 1	, 9	, 0	 > 51	 STA: 1	 0
8	200	 L: 3750	, 3	, 1	, 0	, 13	, 0	 > 51	 R: 3750	, 3	, 1	, 0	, 10	, 0	 > 51	 STA: 1	 0
9	200	 L: 3750	, 3	, 1	, 0	, 14	, 0	 > 52	 R: 5000	, 4	, 0	, -1	, 10	, 0	 > 49	 STA: 1	 0
10	200	 L: 5000	, 4	, 0	, -1	, 14	, 0	 > 50	 R: 5000	, 4	, 0	, 0	, 10	, 0	 > 49	 STA: 1	 0
11	200	 L: 2500	, 2	, 2	, 2	, 16	, 0	 > 57	 R: 3750	, 3	, 1	, 1	, 11	, 0	 > 52	 STA: 1	 0
SetReg 12 : 90
12	200	 L: 5000	, 4	, 9	, 7	, 25	, 9	 > 82	 R: 5000	, 4	, -9	, -10	, 2	, -9	 > 32	 STA: 1	 0
13	200	 L: 7500	, 6	, 7	, -2	, 32	, 9	 > 82	 R: 5000	, 4	, -9	, 0	, -7	, -9	 > 32	 STA: 1	 0
14	200	 L: 7500	, 6	, 7	, 0	, 39	, 9	 > 87	 R: 1250	, 1	, -6	, 3	, -13	, -9	 > 36	 STA: 1	 0
15	200	 L: 10000	, 8	, 5	, -2	, 44	, 9	 > 86	 R: 0	, 0	, -5	, 1	, -18	, -9	 > 36	 STA: 1	 0
16	200	 L: 7500	, 6	, 7	, 2	, 51	, 9	 > 97	 R: 0	, 0	, -5	, 0	, -23	, -9	 > 33	 STA: 1	 0
